sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d35ctrl093	bin.405	6.674737472525316	1.1039178656031934	1.6515993876632462	1.6515993876632462	1.6841973569237187	0.9856329887030023	100	-0.3175104595530235	0.04529657735467251	35	ctrl	093	35
d35sub102	bin.405	6.617875250986975	0.4900767744282131	1.549590927819923	1.549590927819923	1.680597564546772	0.9841309035884999	100	-2.8176563716391083	0.19847195288903766	35	sub	102	35
d07ctrl037	bin.405	11.666421525367223	2.629285214498819	1.4874270298419532	1.4874270298419532	1.4977929251904014	0.9908846849326428	100	-3.259808534605421e-5	8.244190349326884e-5	07	ctrl	037	7
d07ctrl031	bin.405	133.57396026146392	10.490365968786735	1.396583787321503	1.396583787321503	1.4065129312740987	0.9963868722540251	100	-0.022775373531164347	0.0014540009118071406	07	ctrl	031	7
d35ctrl098	bin.405	9.379450068865852	1.9768051780086813	1.5367194118145924	1.5367194118145924	1.6788591913828532	0.9807198657791594	100	-4.935677145665066	0.22630233884738643	35	ctrl	098	35
d78sub191	bin.405	20.219790671958698	3.0468273265189794	1.4691733814125283	1.4691733814125283	1.5279558930404418	0.991123525273942	100	-4.134956831552225	0.13584036786489176	78	sub	191	78
d07sub041	bin.405	7.364528129398399	2.1294248005876555	1.5835799799334052	1.5835799799334052	1.5941446407190876	0.9908891850646965	100	4.646742541918042e-4	6.056772652606177e-4	07	sub	041	7
d35sub107	bin.405	5.475869044763558	0.46194576275822696	1.597611967758992	1.597611967758992	1.840821763985778	0.9839723742157229	100	-6.656566506942513	0.34251688435328603	35	sub	107	35
d07ctrl033	bin.405	9.086781528565375	1.3199022999638284	1.5499149608522604	1.5499149608522604	1.5955896268914362	0.9826378910792293	100	-0.610964934125307	0.062276979705791595	07	ctrl	033	7
d07sub042	bin.405	8.25047934552553	4.328535993266557	1.5987609618843632	1.5987609618843632	1.639033415652688	0.9952437915132224	100	-0.44286940601842645	0.051680116042539644	07	sub	042	7
d35ther114	bin.405	6.257730248022652	0.3572896853977102	1.676866046993876	1.676866046993876	1.984457490875852	0.9859313856860944	100	-10.242434415844444	0.3909122426978146	35	ther	114	35
d78ther202	bin.405	5.793181451327007	1.234547376228564	1.7427892518293189	1.7427892518293189	1.8999594137657727	0.9832209450088165	100	-2.822148600344246	0.18651375680056761	78	ther	202	78
d78ctrl189	bin.405	10.218980574249152	1.3644502815218944	1.4679526470020194	1.4679526470020194	1.523860637613978	0.9916641793802267	100	-0.7490199379093755	0.07072600584253798	78	ctrl	189	78
d35sub104	bin.405	9.744422469726935	1.928990955946683	1.570401105602216	1.570401105602216	1.603765486279952	0.9891129011186944	100	-0.19536200434823942	0.027278506618545032	35	sub	104	35
d07ctrl040	bin.405	23.923258704778974	3.1131407716622137	1.4271704660056472	1.4271704660056472	1.4556750484067886	0.9884771769537851	100	-0.7346274477046738	0.04133188202130668	07	ctrl	040	7
d07ctrl032	bin.405	17.19641701476731	2.360185488893751	1.496404201609487	1.496404201609487	1.532408574047646	0.9928872018634378	100	-0.8959890037242799	0.055136023659540415	07	ctrl	032	7
d07ctrl038	bin.405	12.718454086166036	2.086720039510315	1.477452246171756	1.477452246171756	1.4959929280347006	0.9921931195096876	100	-0.06760254912646166	0.012698787905180973	07	ctrl	038	7
d35ctrl095	bin.405	7.247288737228138	1.531001371974547	1.6141523749093682	1.6141523749093682	1.6621922599340606	0.9836393758103167	100	-0.6334311820986905	0.06932047539760719	35	ctrl	095	35
d78ther204	bin.698	10.138785815160924	1.052928373636616	1.7582096885784173	1.7582096885784173	1.8661434738233744	0.9940466377769529	98.66999999999999	-7.782375250088053	0.18470787400625488	78	ther	204	78
d78sub197	bin.698	44.60610781030254	5.84479582722475	1.5527295598072508	1.5527295598072508	1.6352986613607916	0.9948053442858031	99.9	-32.80675898561315	0.2073767937671326	78	sub	197	78
d78ther205	bin.698	8.98263119918057	3.458588244000431	1.7921515573220395	1.7921515573220395	1.86092034973092	0.9945379254447104	98.69	-4.933727138149671	0.14689513465449483	78	ther	205	78
d78sub198	bin.698	7.025012748485244	0.9739402282062462	1.8620468698518753	1.8620468698518753	1.928223661558895	0.9925052313680888	99.86999999999999	-1.643275185691807	0.08131756428996359	78	sub	198	78
d78ther210	bin.698	10.481304915845303	1.4413099243547167	1.7951128745066773	1.7951128745066773	1.8663803710432867	0.9937885759339745	100	-3.0999533403843085	0.09562902494429183	78	ther	210	78
d78sub195	bin.698	17.989662337815016	2.0318972258009937	1.579433820868695	1.579433820868695	1.635630057104858	0.9880273418119008	99.89	-1.4944080145594014	0.04779273727046862	78	sub	195	78
d78ctrl186	bin.698	5.136469779109532	0.8850949251997747	1.746677445251576	1.746677445251576	1.79776861787471	0.9831814070797695	100	-1.136571521522407	0.07943391423485811	78	ctrl	186	78
d78sub194	bin.698	8.590882371526867	2.256793483853298	1.734614026736964	1.734614026736964	1.8377513576060338	0.9905473866662518	100	-3.765879381097175	0.12416508850606536	78	sub	194	78
d78ther201	bin.698	7.791363507442618	0.9092371193819303	1.8955094522639995	1.8955094522639995	1.9953175572933919	0.9903780704473979	98.66999999999999	-4.543577150042902	0.1431689907772618	78	ther	201	78
d78sub191	bin.698	10.339299281529172	1.5579814894774826	1.4547226334880858	1.4547226334880858	1.4972500894008347	0.9905760729347057	99.9	-2.879125861674164	0.12061504512634402	78	sub	191	78
d78sub193	bin.698	24.959228360272927	1.710053611867092	1.5988943100288566	1.5988943100288566	1.6697693998736844	0.9920697794328319	100	-11.789617332748822	0.14724968256423981	78	sub	193	78
d78sub200	bin.698	17.139340576334398	2.415174899847774	1.7110259681777464	1.7110259681777464	1.9282207345867572	0.9894786580125967	99.88	-31.75977473795151	0.31488316127555227	78	sub	200	78
d78sub196	bin.698	19.51333851600284	1.4344226604402952	1.5178643829546123	1.5178643829546123	1.6037503367157417	0.9914423118631049	99.66	-6.034956674504627	0.12056693621058293	78	sub	196	78
d78ther206	bin.698	6.141522881877751	0.5723314743295667	1.8849142138638348	1.8849142138638348	2.0350207666305344	0.9905586588199248	99.94000000000001	-6.470583595591625	0.2096619802067362	78	ther	206	78
